case_folder,mode,lolh,lolp_percent,lole_days,eue_mwh,ann_tol_mwh,eue_ann_tol_error_pct,cvar_eue_mwh,max_shortfall_mw,n_shortage_events,mean_shortage_duration_h,p95_shortage_duration_h,runtime_s
RAChronoOps_VRE120_base_s001_ED,ED,7.0,0.07990867579908677,3.0,1779.4778133961308,1779.4778133961308,0.0,1779.4778133961308,540.6860412653765,7,1.0,1.0,NaN
RAChronoOps_VRE120_base_s002_ED,ED,7.0,0.07990867579908677,2.0,2628.8746481307526,2628.8746481307526,0.0,2628.8746481307526,752.5397635999994,7,1.0,1.0,NaN
RAChronoOps_VRE120_base_s003_ED,ED,8.0,0.091324200913242,3.0,2625.637603396133,2625.637603396133,0.0,2625.637603396133,1076.7977315999997,6,1.3333333333333333,2.0,NaN
RAChronoOps_VRE120_base_s004_ED,ED,16.0,0.182648401826484,4.0,7217.291136661506,7217.291136661506,0.0,7217.291136661506,1239.700264,10,1.6,3.5500000000000007,NaN
RAChronoOps_VRE120_base_s005_ED,ED,23.0,0.2625570776255708,6.0,9822.357466792262,9822.357466792262,0.0,9822.357466792262,1144.6539771999996,14,1.6428571428571428,3.3499999999999996,NaN
RAChronoOps_VRE120_base_s001_UC,UC,9.0,0.10273972602739725,3.0,1779.4778133961322,1779.4778133961322,0.0,1779.4778133961322,668.2972087999997,7,1.2857142857142858,2.0,623.2070000171661
RAChronoOps_VRE120_base_s002_UC,UC,7.0,0.07990867579908677,2.0,2522.274648130753,2522.274648130753,0.0,2522.274648130753,645.939763599999,6,1.1666666666666667,1.7499999999999991,552.5260000228882
RAChronoOps_VRE120_base_s003_UC,UC,9.0,0.10273972602739725,3.0,2519.037603396132,2519.0376033961315,1.8052424079473052e-14,2519.037603396132,722.1931183999975,6,1.5,2.0,545.4839999675751
RAChronoOps_VRE120_base_s004_UC,UC,22.0,0.2511415525114155,4.0,7004.091136661509,7004.091136661508,1.2985192283012437e-14,7004.091136661509,1125.0946080653791,10,2.2,5.0,545.3599998950958
RAChronoOps_VRE120_base_s005_UC,UC,29.0,0.3310502283105023,6.0,9712.357466792266,9712.357466792268,1.8728608473948806e-14,9712.357466792266,1211.0946080653791,12,2.4166666666666665,6.0,616.2590000629425
