case,scenario_id,ref_model,test_model,ref_eue_mwh,test_eue_mwh,delta_eue_mwh,ref_lolh,test_lolh,delta_lolh
VRE120_base_nostorage,1,M3-NoStorage,M3-NoStorage,29464.531872399966,29464.531872399966,0.0,93.0,93.0,0.0
VRE120_base_nostorage,2,M3-NoStorage,M3-NoStorage,40276.922641199955,40276.922641199955,0.0,127.0,127.0,0.0
VRE120_base_nostorage,3,M3-NoStorage,M3-NoStorage,35615.93109359997,35615.93109359997,0.0,101.0,101.0,0.0
VRE120_base_nostorage,4,M3-NoStorage,M3-NoStorage,49491.39154559995,49491.39154559995,0.0,128.0,128.0,0.0
VRE120_base_nostorage,5,M3-NoStorage,M3-NoStorage,54383.207194399954,54383.207194399954,0.0,129.0,129.0,0.0
VRE120_base_nostorage,1,M3-NoStorage,HOPE-ED-NoStorage,29464.531872399966,29464.531872399966,0.0,93.0,93.0,0.0
VRE120_base_nostorage,2,M3-NoStorage,HOPE-ED-NoStorage,40276.922641199955,40276.92264119995,-7.275957614183426e-12,127.0,127.0,0.0
VRE120_base_nostorage,3,M3-NoStorage,HOPE-ED-NoStorage,35615.93109359997,35615.93109359997,0.0,101.0,101.0,0.0
VRE120_base_nostorage,4,M3-NoStorage,HOPE-ED-NoStorage,49491.39154559995,49491.39154559995,0.0,128.0,128.0,0.0
VRE120_base_nostorage,5,M3-NoStorage,HOPE-ED-NoStorage,54383.207194399954,54383.20719439995,-7.275957614183426e-12,129.0,129.0,0.0
VRE120_base_nostorage,1,M3-NoStorage,HOPE-UC-NoStorage,29464.531872399966,29464.531872399966,0.0,93.0,93.0,0.0
VRE120_base_nostorage,2,M3-NoStorage,HOPE-UC-NoStorage,40276.922641199955,40276.92264119995,-7.275957614183426e-12,127.0,127.0,0.0
VRE120_base_nostorage,3,M3-NoStorage,HOPE-UC-NoStorage,35615.93109359997,35615.93109359997,0.0,101.0,101.0,0.0
VRE120_base_nostorage,4,M3-NoStorage,HOPE-UC-NoStorage,49491.39154559995,49491.391545599945,-7.275957614183426e-12,128.0,128.0,0.0
VRE120_base_nostorage,5,M3-NoStorage,HOPE-UC-NoStorage,54383.207194399954,54383.20719439995,-7.275957614183426e-12,129.0,129.0,0.0
